category,district,unicode,course,university,year,z_score,type
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2014,1.9856,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2015,1.9856,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2016,1.9382,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2017,1.8698,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2018,1.8961,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2019,2.1944,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2020,2.0739,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2021,2.0822,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2022,2.1036,
Physical Science,Colombo,008G,Engineering,University of Moratuwa,2023,2.0805,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2014,1.8509,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2015,1.8509,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2016,1.8154,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2017,1.7548,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2018,1.7749,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2019,2.0630,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2020,1.9390,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2021,1.9344,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2022,1.9034,
Physical Science,Colombo,008B,Engineering,University of Peradeniya,2023,1.9264,
Physical Science,Colombo,008C,Engineering,University of Sri Jayewardenepura,2014,1.8435,
Physical Science,Colombo,008C,Engineering,University of Sri Jayewardenepura,2015,1.8435,
Physical Science,Colombo,008C,Engineering,University of Sri Jayewardenepura,2016,1.8155,
Physical Science,Colombo,008C,Engineering,University of Sri Jayewardenepura,2017,1.7327,
Physical Science,Colombo,008C,Engineering,University of Sri Jayewardenepura,2018,1.7684,
Physical Science,Colombo,008C,Engineering,University of Sri Jayewardenepura,2019,1.9771,
Physical Science,Colombo,008C,Engineering,University of Sri Jayewardenepura,2020,1.7994,
